processed_text,label
final vestige 90 childhood dash shoal hear house cover tracy chapman fast car dayjob,3
maybe entire russian team test positive meldonium north americans get replace,0
hey folk sorry anything offensive get post yesterday account get hack fix though hope angry annoyed,0
dreamthey try steal kidney black market watch,0
make world empath unhappy,3
nervous test rip,3
ryan gosling eva mende finally b joyful funnydo bossdo arguedo everything kidsgo mini car trip focus love,1
embarrassed see we like knvfkkjg think stalker n start wave cheerfully invite we weary_face,3
wow dad top favorite throwback rapper die fiery car crash today atlanta sad sad face_with_medical_mask face_with_medical_mask,3
wait listen new single mystery new album face_savoring_food new music new single new album pop music dark,1
anybody know good place book show montreal short supershort notice punk rock post punk blue,2
afraid space dream reality dream make,2
finally leave job soon work since go kind bitter sweet,3
user user get start town centre use go every week month horrible,0
brawndo cure depression user idio cracy today,3
rejoice birth grieve funeral person involve mark twain,2
dislike people get offend littlest shit,0
user look adorable awe,1
new play tonight pretty much blind run play game maybe get level rage horror,0
user road rage give anxiety,0
user bring back great memory hilarity saturday night live,1
user user god user full shilling seriously need major rethink lab gove lifetime sad,3
significantly bitter smile let,0
user try go home tonight run run champ dosike loser terrible,0
user many chance show look lively good shot tip bar end,1
need advice get rut need motivation,2
health think depression feel like,3
user easy spot parade tiny weans expensive jammie really hilarious,1
muscle man huge heart mess brain heart lose confused,3
user user user trump say refugee situation terrorism quality life take note,0
user wear black tomorrow mourn loudly_crying_face broken_heart,3
user right civil war start wall wall terrorism fancy muzzys chance,0
user laugh louder time shake head really cheesy,1
4yo go blast gothcore music anxiety listen around spooky sigh mom life,3
user glee,1
gloriosa bazigaga rwanda work lose relative genocide yrs peacebuilding give optimism within power,2
user mh chat childhood experience inform adult relationship associative memory question ability process,3
texans astro shut tonight houston back normal texans astro sadness loser,3
user nick fury,0
dream say something really retarded twitter get like retweet nightmare,3
user user get start town centre use go every week month,3
user scrap rage instead,0
tell wife chance would sydney team afl grand final response sydney afl team serious,2
user wow really sadden terrible,3
meet new people grow reality people desgusting fake lose cheerfulness start,0
urgent need get new job constant gloom current get bit ridiculous,3
girl playful childlike seem lovely relationship imagine serious convos cute smiling_face_with_hearteyes smiling_face_with_hearteye,1
absolutely love laurie hernandez adorable always cheerful,1
windy glad ride bike fear wind,1
point live optimist foolish enough believe good yet come peter ustinov optimism quote,2
user user quite response retaliation weiner get revenge huma hillary clam diggingnall scumbag,0
user user pretty awful look historically,0
break policy blasio trump giuliani break window part peck order bully politics america resist motto,0
mate thing get excite profession mad client say open bowel rejoice,1
user know nervous see,3
user bad go morgue positive horrible reuter,0
user thing attack hating bad make we like angry vengeful behavior detest,0
user wow right need helpso get laureliver fandom bitter comic fandom,3
shy girl face_with_rolling_eye,3
mmmm kind sad hope shake school,3
every day think house house_with_garden burn fire always neighbor burn toast face_with_medical_mask enraged_face bread,1
fact sometimes get furious people wrong get furious fool,0
user happy still charge full price enraged_face enraged_face fume bestride flushed_face flushed_face,0
everyone rage,0
sometimes get mad something minuscule try ruin somebody life like lose job like get federal prison anger,0
user user ref gts favor tonight,1
nls top bureaucrat director group form oppose nls top megaproject nl poli never dull,3
watch amazing lively broadcast user musically,1
want win wild card play cub road sadness,3
user user amal clooney try prosecute bush blair war crime turn world upside downcreate terrorism,0
user stop press user saidpropose something racist shocking,0
user nisnt obrien suppose sort offensive genius,0
good morning chirpy spring equinox pensive sister autumn equinox perfect day however express rise maple_leaf first_quarter_moon yin_yang beauty balance,1
user think swallow swift go photod night ago see since sad autumn,3
tell chiropractor good time long time question habit yet unnerve doctor,2
lady gaga fucking follow wait day age fucking happen shake thank much user red_heart,1
user come silly clock wake happen waste fume,0
user user gleesome threesome,1
user think get fashion police involve shocking,0
wish rich get morning poor sleepy sad need sleep,3
user relentless echo chamber negative comment lot reverb typical bully behavior,0
user thank follow good website cheer hassle,1
user people much negativity fill inside always happy gloomy world someone like exist namjoon,1
something make excite terrified thrilled nervous elated like kick gut need word,1
user easy blow lt run play create seam sua burst,1
user user decide bit lackadaisical get dress get grocery,1
user optimism lose actually compromise p,2
user nit alright say cheerfully try make moment fun,1
user might get donal og sure cork fiery dopey frank cult,0
people like irritate soul,0
user least character fast furious pump adrenaline franchise,2
user snapchat back constant battle see get ugly snap another face_with_tears_of_joy upsidedown_face snap survival,1
user rage type properly ha ha,0
pakistan continue treat terror matter state policy say user uri attack,0
much hair nightmare also soft guess winlose situation,2
user user whatever sam hold tee look like get droop face_with_tears_of_joy,1
step forward step backward link rogerfederershop work anxious_face_with_sweat lose hope roger federer new website sadness,3
pat awesome belichick awesome,1
join user put phone talk rude take money acc willynilly,0
user user user user take 2k number madden low drop people unhappy,3
user mean rioting fire start business burn loot asshole create black life matter,0
hms pinafore timenni need mirth,1
grim despair feelingi look self family hubby fight year country work year govt,3
coincidence turn tv etc listen watch objective capture mind fear depression find god,3
turkish exhilaration shade irruptive russian visitor twelvemonth gobbler nephalism,1
week full monday end dishearten,3
user history people bully make post attack bully,0
user way go london nice job elect muslim jihadist mayor good luck future terror attack sadiq khan,3
pull tonight make car shake face_savoring_food sweat_droplet,1
feel gloomy,3
b day next week catch sauce watch heaviness,1
carry wayward son peace do lie weary head rest cry supernatural,2
user cyber bully,0
user find episode bojack incredibly funny get less funny stay drama,1
page script due friday class say could mfa thing grad school problem someone tell tina fey hire,1
rigg dumb ass hell lolol hilarious lethal weapon,1
user bully,0
india react uri attack revenge,0
well stock finish list living room move around new editing do fit visit inlaw productivity fine happy,1
user outrage black child get kill crossfire black shoot,0
user rabid dog ride child eat flesh fellow limb adult,0
user watch cobbler load season gorre pro footballler terrible,0
putin feel acceptable bomb kill aid worker soon may sit table trump armageddon usa please not,0
people got start much drama shoot frowning_face,0
miss fact burke ramsey swung hit sister jonbenet face golf club previously fit,0
nooooo poor blue bell sad,3
user user muslim usa age think muslim commit terrorism due islam get mind,2
user angry student racist teacher stop class let go,0
think good go already worry,2
wine drunk bad version ffs even remember see basshunter,0
bounty hunter thing bit lively,1
feel get know information scare might bad test college life nervous sad_but_relieved_face sad_but_relieved_face,3
user supine pianolip part word story write blue singer,1
user thanks ryan brad scary shit we episode think heart make s6,3
always borrow money pessimist expect pay back,2
pax enjoy gloom user user,1
condolence jc george family,3
user snap seem problem,0
user nlikewise death cut despair,3
go give kkk police bitch minimum sentencejust wattch,0
feel like appendix purpose depressed alone lonely broken cry hurt cry life,3
travel fail virgin virginaus etihad nightmare also delay ob vs face_with_rolling_eyes angry_face,0
tulsa police manufacture murder wonder carry burner maxlevelz,0
dehydrate exhausted stress still bless optimism,2
we need band together apart never trump promote hatred fuel,0
user fucking dreadful live footy match,0
user user nbecause distrust life argentina lot heart president worth every vote,2
foam lip hip user many great lyric,1
user guess must really expensive whole family stay poland really miss,3
user user user user user understand concern look foundation contribution,0
someone let snake house bet user kill bugger get hand huckfp2,0
fake people irritate,0
user fmf protester interested reason debate intimidation violence disruption get demand meet,0
lunatic asylum place optimism flourish,2
damn gud premiere lethal weaponfunny serious,1
user user bully,0
appear fire alarm disapprove cooking style,3
go get city next round revenge,0
trump afraid big bad hillary election presidential debate presidential election orange hitler skip hide coward fear,0
user sit wrap fluffy blanket incense burning listen bon iver drink mull wine,1
petition nonmaghrebi poc stop buy couscous white grocery store boil couscous trash,0
user thank happy birthday well,1
watch amazing lively broadcast user musically,1
user ceremony next time meet involve burn something possibly booze andor caffeine,1
dear user please tell bus driver obstruction side pull oncoming traffic cause vehs swerve fume enraged_face,0
alternate reality user comment section give poem cheery thumb disappoint thumb,3
user may suggest meal make bean onion garlic day class revenge,0
highly suggest look online company help send package overseasdo ever ever use user,0
begin squirm beneath user struggle get relentless grasp realize attempt useless,3
remember reflect reginald denny night much like like charlotte think gun lobby must rejoice,1
user user look forward user open stuart special literally yell tv umbrage,0
something opening mail justvery pleasing,1
doe run opposite side slightly_frowning_face depression,3
user awful music take walk right cliff k face_blowing_a_kiss,0
day elated take pto tomorrow doneeeee,1
pessimist see difficulty every opportunity optimist see opportunity every difficulty sir winston churchill,2
user think ian know pavel know charlie bet rob cackle glee hear happen archer,1
user maybe constipation issue know date relieve affliction way jose,1
user smh remove ideologically bankrupt opportunistic establishment burn bridge social contract anger,0
user lose xt nova around hole sadness,3
unga pakistan clearly show face cowardliness blatant lie time india act upon terror,0
aqw always stay art style competition create detailed art time,1
user mine party decide party slowly transform vengeful hellcult white male resentment,0
user user user kirbys black panther cool animate panel,1
fight elephant wrestle pig quote day,2
flat party instantly get bollocke fume,0
user betelgeusesloth lively dedicated tenacious regulusgreed humbly content leygluttony starve hungry,3
user ldf16 shall weekend spray paint greenwich market user core246 lily lou fret ben oakley,1
user awe man free frowning_face frowning_face frowning_face heart_with_arrow heart_with_arrow heart_with_arrow,3
user want shake tree peach peach peach peach,1
user isnsure mind clouded,3
user got fast n furious,0
ffs seenoevil_monkey thing come back haunt cringe bad cringe person_raising_hand_mediumlight_skin_tone eye water_pistol backhand_index_pointing_left terrible gun,0
never let see frown,0
country give safe house osama bin laden dangerous contain pakistan terror heaven declare user,0
ga dot please put left turn signal williams ivan allen jr blvd absolutely ridiculous atl traffic,0
thing feed naay rage something brother fill gap,0
haiku challenge haikunnthe crisp autumn airnmy freedom purchase deathnno mourn,3
honestly feel nothing towards either parent pretty depressing,3
could turn anxiety offi would understand,3
user maybe provoke future want run risk punch board,0
karev well seriously do do user angry unfair ugh,0
worry get glass guy bill we,2
user really excited november hope horrid chavs though grinning_face_with_sweat,1
user terrific game faze mcfc,1
user user user threaten pussy,0
user fuck coupon goal,0
reflection grind real work job school ksu dsm ksu recruiter instructor tumble cheer grad school,1
aberdeen st johnstone let we see punt furth awful,0
user stumble block pessimist step stone optimist,2
listen joey really help anger,2
user thing either unproductive unhappy deal video badly,3
another joyful encounter tribez castlez meet bartolomeo want know download game find,1
user user user yes exactly sell country terror lie cover,0
wake nightmare could sleep take use hot water shower time read,3
get tip drunk uber passenger today get parking ticket would blame karma dumb ass forgot pay meter,0
pat awesome belichick awesome awestruck,1
david gilmour big compliment bb king ask gig bear mississippi pink floyd blue david gilmour blue,1
seriously hope chance celtic miss go come back haunt alloa sucker punch,0
hate little girl enraged_face enraged_face get lot grow fume,0
throw sedate damn horse tranquilizer,0
user like start college horrific probably get well give yet,2
user user hey stupid bad intel take bin laden try faux outrage bet admire putin right,0
big fear incurable stds pregnancyi mean basically thing anyway life annoying weird smell,0
howl moon user user next wednesday free double feature silver bullet cursed horror,3
blanket hoody still eternal sunshine mope,3
india want shake hand pakistan usual pakistan cheat every indian nnshameless pakistan,0
user depth sink readership deserve,0
user exhilarate hockey still russia win regulation read fuck,0
wish stay da gump make panic like last rapper,0
projection perception see someone else also level within anger,0
user actually maybe suppose die donation save life optimism,2
follow trump certify bully question child may go war vs consumate diplomat user,0
user tunnel shudder think grimy tweet,3
user disneys animate musical film lion king influence william shakespeares hamlet song elton john,1
expressionless_face expressionless_face expressionless_face moment finish netflix series nothing else watch depression,3
tired people tell worry fact probably never give fuck,0
user user aa right passage come n word insult church ignorant,0
user sadly war often factor jump start we economic growth,3
someone rudely say woman long hair inner feminist try rage,0
animal animalsntrap trap trap till cage fullnthe cage full stay awakenin dark count mistake,3
slow anger well mighty rule spirit take citynp1632 bible verse pride,2
box office movie justice political snowden movie terrific thriller love story user,1
up room make apprehend leave charcoal ownership unzu,0
user user yeah receive fine today furious currently appeal member long,0
grudge hold keep make appearance god want deal,2
user shock horror handicap dodger top face_with_tears_of_joy close agg cup good think pressure get mark thinking_face,1
girly sense always lash nail do tomboy sense black color refuse ruffle life,1
harbor osama bin laden relationship haqqani network enough evidence prove pakistan sponsor terrorism,0
man know juggle ball itnfunny pun punny lol hilarious,1
user droop see naked wrestling ask get hole jay mohr sport,1
user get blue_heart stay strong smile e beautiful,1
nothing else could possibly put damper day xray someone kickinnnnn ass breath crying_cat,0
user concept gay magazine feel like cover terrible people gay voice seem upside,0
user easy ride child cry noh find mefind nothing nwe sullen misty moor,3
user think provoking lead question really happenedvery sad,3
migraine hangover day stand dish exhaust gad depression chronic pain anxiety depression pain,3
hour football practice boiling sun 2hr volleyball practice boiling sun,0
start season open show show dark hell get empire,2
might leave aggravate bae,0
joyful tambourine cease noise jubilant stop joyful lyre cease isaiah,3
boyfriend forcibly stop anxiety cope method hold force hand kind stuff,3
user end pay 75p half tube smartie even get pleasure pop plastic lid either,0
internet age get mad proportion assume terrible bad little fact knowledge,0
user user user user user awe feel bad naive ou bad,3
rooney whip boy mufc sad,3
user start buy death wish coffee shake hand espresso every,1
user cheer,1
user sure heyday,2
user user user user user user give key back house shocking,0
obama legacy weekly riot terror attack 400k dead syrian jews flee persecution europe christian genocide,0
drop snapchat name bore snap swap pic,3
user user lest forget yrs graduate trainee recruitment conclude disappoint weary however wait,3
happy birthday user cheer chick jeep jeepgirl drive jeep jeepjeep cheer,1
user oh god slow eng well hand shake uhh help meee like lil chicken frontfacing_baby_chick well,3
user android app design buggy work sporadically fire tv box,0
user user user user provoke voke,0
user badi fear life folded_hand,3
user see difference court appeal woman vs deception pressure depress,3
user customer service get involve eventually completely wash hand awful dream nightmare,0
look massiah young leadernpakistan massiah terrorism,0
pretentious dick night gallery fucking use towel dry sink,0
another day another flight seenoevil_monkey swear last ever user flight take love fly easyjet horrific always delay,0
user sorry hear issue make feel like hear customer unhappy,3
fear truth even gloomy counterfeit berl katznelson,2
miss gran singing rawhide deep baritone growl,3
egyptian official express frustration outrage obamahillary administration support muslim brotherhood,0
major banking stock almost high benchmark still close top sure worry market,3
batman animate series gift 90 animation god,1
user control avoid mmt guy terrible,0
impress depress,3
user user could care less gotham watch since mid point season horrible,3
user user user yes bad point racism lest provoke racist racist indeed like,0
see alex revell face get angry,0
user user user user dread think dirty people,0
user get go tag link please lot friend love follow unintentional hilarity,1
addition fiction wish luck research paper semester page oh boy daunt,1
user read article headline indicate horror story lock sick chavs throw away key,0
user user live life devoid mirth come think enough taco bowl life either,3
try book holiday flight user website become nightmare,0
user john kerry fckd youchief justiceofpak make statement publicly party support terror else needterror state pak,0
user jeezus god dark,3
realize anxiety time high office feel prisone pick bad energy,3
r scared present front class severe anxiety r sad sometimes go get depression check imediately,3
user today impact signal afraid engineer work resolve evening,2
oh dear evening absolute hilarity think laugh much long time face_with_tears_of_joy,1
wtf united shock defend,0
amateur sit wait inspiration rest we get go work stephen king author serious writing tip,2
jesus weep another rn rusty user quote price sensitive news price sensitive news etc etc ramping,3
perfume smell like smell smokey incense would,1
user personally like relentless get house jersey devil inside ndoe nothing till puck drop nj devil,3
scorpio always seek revenge,0
user user lmao awe sad,3
appropriate secretary permanent mission task demolition terror state pakistan like renunciation lie bit,0
user meden frown non existent face,0
user red_heart dwts make night every show face_blowing_a_kiss,1
still shake though upsidedown_face,1
arrive office day ever festival internet panic,3
drunk hide key well sober could find anywhere,3
yo friend shake hand kick yo door tha way game go robot zippermouth_face,0
depressing dark much early,3
get ask hoco instagram dm someone lose bet love maturity people grade,2
user say attract see maybe pessimist want take chance lol wait relocate,3
user seriously dig eyebrow animate,1
taurus female beautiful sparkling jewel glow moonlight,1
user tell racist bigot always resort insult fag like bad racist bigot,0
watch amazing lively broadcast user musically,1
user gay guy dad revenge fucking,0
user listen someone tie like awful,0
talk politic people nowadays get offend easily,0
user jog bit stay beside puff cheek huff time oh jeez jasper,1
user user user user defend belt aldo hard grudge hold bitch,0
user like mope around episode moment emotional weakness feel sorry,3
user joke,0
time remove cb team somehow screw rip bandaid ste bit everyone get,0
user user user user get shake booty instead though make sure good slightly_smiling_face,1
user officially say episode leave future despair delay,0
user whaaaat oh hell jealous get pay fuck whole new level love conflict grimacing_face,0
watch amazing lively broadcast user musically,1
well evaluation come back minimally effective student test score parcc sink eval time quit teaching,3
majority people irritate fuck cba people ahahah,0
oh god actually think go jump south park south park,1
never make decision angry never make promise happy wise word,2
user watch great wall hilarious grinning_squinting_face,1
everything see american police training seem calculate trample human dignity inflame outrage escalate confrontation,0
user dhoni bcoz calmness nd match win finisher nd proud milt irian dadhusband nd wonderful humanbeing nd smile,1
user point voting trump push piece board game like angry toddler wreck everything everybody,0
user user rare officer shoot without regard want conscience incite,0
tf break boy keep tryna find gfs get fuckin right smack yo bitchass deserve 2be happy deserve ass,0
user hey breezy want give coffee post snap please,1
user would great card crash face_screaming_in_fear happen twice nightmare,3
nothing like shower power go flushed_face creepy,3
blood mucus choke swallow mirth cut short wrong answer take awkward movement user,0
move weekend sugar daddy replace niggas still happy,1
user joke pay datum spain text say use data terrible service,0
user understand express emotion other may lead sadness loneliness neg impact long term mh mh chat,3
user sorry heartbreaking scary happen happen anywhere please safe folded_hands_light_skin_tone,3
user user get team paella present way fi think arrive saturday sadly,3
cheerful heart good medicine crush spirit dry bone wicked man accept bribe secret pervert justice,2
side effect fighting disrespect come ignore person show dontcare sweet revenge,0
welfare reform model snap,3
user control avoid mmt guy,0
truly feel like science ability make milk anything cashew milk hemp milk pine nut milk dandelion milk,2
user user team must draw hat daily personality drug yeller quiet screamer face_with_tears_of_joy face_with_tears_of_joy,0
isis reference scrub federal complaint suspect nyc nj bombing appear omit terror name bloody journ news,0
free live music dc tonight blue moonshine society user loft start 1030pm user user,1
espn assume want free magazine,0
year college student english major today time ever write essay without panic attack,1
user leave sad,3
honestly know unhappy time want stop never go,3
real sjw let america downni find we go get usni let let inni rage lolnuser,0
neighbor dance clayton home commercial hilarious,1
user yuuuhh face_with_rolling_eyes loudly_crying_face plus clin ep prevme ugghhh hahaha,1
user end pay 75p half tube smartie even get pleasure pop plastic lid either outrage,0
rooney whip boy mufc,1
user user horrid disease maternal grandmother sister suffer affliction hard,3
side chick try fuck like go forget wife do,0
pray lord keep anger hate jealousy away heart sign maturity conciseness,2
get close dark inside fog water_wave,3
user try boil take year,3
love user user talk challenge fear map inspiration stay unstoppable,2
hard get touch user simple question find answer website hour wait online chat,0
seem alternate sleepfull sleepless night tonight sleepless confused_face insomnia fair,3
user sam yes helpful need sort soon possible keep promise stuff happen fume,0
user help maintain boost status world class centre education culture tolerance,2
user getting lose want see eye hungary huff cross arm look away angrily,0
user apparently contact sofa mean deliver today old one gone sit floor sofa fume,0
user nearly start cry full panic attack tatinof crowd feel,3
ffs tate think wind willow serious play wait see play singing badger weary_face face_with_tears_of_joy,1
user congratulation free month activate charge month absolutely furious enraged_face,0
cop go pull gun reason threaten able merk ass walk away,0
user jeezus god,1
need help anger,0
get do watch jeeper creeper epic horror horrormoviesareb movie movie horrorfilm clapper_board film_projector clapper_board,1
though talk jeff news sad shocking rip jeffrey,3
day job already get dollar tip dude whose constantly twitch eye lololol cheer,1
look we smile photograph see secret behind fake smile ω copyright facta fact life,1
week still go depression smh,3
leave maine sadness,3
user grapefruit squash gonenot able get week unhappy,3
howl moon user user next wednesday free double feature silver bullet curse,0
often disturb people find appropriate acceptable funny cute adult find stuff humorous sad,3
worry master haddon robinson user jesus subject anxious,2
love take mask fear live without know live within james baldwin,2
would anger issuesif lie issuesthink pow lie confusion,0
doe run opposite side slightly_frowning_face,3
bad juror ever michelle nicole big threat bitter bb18,0
user stupid hate lol bitter,0
people try hard hate cam newton without understand position sad,3
angry shouting match pessimist optimistnyou half emptyheade user nyou half full user,0
user enliven soul,1
next hour wait girl start user,2
user user user user user user user oh god brewer horror horror,0
fucking hell rush damn train also use fucking 4min wait still sweat smrt ruin life,0
angry,0
love people say racist right say racist shit work fume,0
sometimes think british political landscape desolate look foam wasteland us think ok,2
user user time interesting particular afternoon goofball could say bad umbrage,0
user user clown neighborhood creepy enough enough,3
user ehhh guess want everyone ever burst laugh front face_with_tears_of_joy,1
boss like stand office smile like shark maliciously gleeful ask secret tell,0
write horror dark loud creaking door noise come kitchen door creak wtf,3
fire anger acid harm vessel store anything pour fire anger nnmark twain,0
user guy determine team shitty team play fuckin cod,0
user user offer moth warranty ps4pro truth rip,0
user us diver name steele johnson would like bar olympic,0
go downcast_face_with_sweat restless,3
user give gas hate respect rudeness bully,0
box search google chrome distract,0
wake scroll social medium another father take child everyday keith lamont scott,3
user buzz pathetically sympathy let twirl moustache chuckle ste psycho wasp,0
user terrible,0
user surround trump voter right fucking terrifying redstate,0
democracy workn mob mentality mass hysteria monger oligarchy,0
get shot lingys face time pretty sure would red hair pretend sok ru ok afl cat swan,3
user user give smile emoticon ya like idea frown,1
indian uber driver call someone n word move vehicle would jump disgusted,0
user user welcome ji sorry word irritate,0
asian tiger mosquito relentless aggressive kind deal kid,0
goddamn headache anger,0
never forget 5live cancel program allow extend people could call detail outrage behaviour,0
glad watch smackdown see man user user lose hurt revenge,0
lmfao user race pimp tamron hall use word fsct msnbc sentence lib tard bias medium never hillary,0
hate guy control anger upsidedown_face upsidedown_face,0
catch user wonderful new series eale comedy infectious delight every interview film clip,1
ranger v celtic revenge,0
user unless concern people figure wtvr reason see tweet thing,0
user user user user interview scare crap never imagine many dumb dumb americans,0
oh god kiss seenoevil_monkey w,1
user gabe bad part get hot status month chipotle near enough campus sadness,3
lot would give ghandi road rage,0
force fake hug someone flinch get litigious past awful confounded_face goblin person_gesturing_no,0
user bad exec complaint ever horrific customer journey,0
ghost stefano reflect grim indignity murder corrupt cop faux love day,0
user user user bully bullshit full shit please take garbage,0
user look completely rabid user,1
user always little bit weary speak want hijack conversation lgbt person see,0
user shameful display watch today leave reel much anger dt feel like explode clown watch,0
elated celebrate like obama wait last day office tell nation brother get reparation,1
user offend weird,3
user hit sink hammer sorry universal modifier,3
user receive verification email ask resent time still nothing,0
user would get decent referee shock,0
user forget hair salon look light cheery would go coffee read book,1
user nif room burn fire,0
user user candy corn great candy world come objectively terrible,0
insult late sherri martel,0
hate start conversation,0
user yes hun avoid cost,0
grown adult drink never drink assume raise around rage alcoholic want part,2
happy user may keep haunt we many year horror write,1
user terrorism way life united etate islam bring islam expose islambacon,0
watch amazing lively broadcast user musically,1
mourn creativity lose,3
user take deep breath shaking could adrenaline oh wow weird depend regular vary,3
sorry guy absolutely idea time cam tomorrow keep post,3
nooooo poor blue bell,3
user user honorable senator cheer cease fire hold people die cheer genocide support good,0
professor introduce say interesting factnnhi ethan sun engulf planet fiery explosion day,1
ignore break tooth long abscess need dentist fear make hard go45 still go dentist,3
know bad new pizza hut commercial pizza pizza hut make horrible,0
user user user hook backward recommend smoke,0
follow girl tiff get follower sparkling_heart heart_with_arrow sparkling_heart heart_with_arrow heart_with_arrow user,3
get excited user play main stage sunday october jazz holiday rie brother rock blue jam,1
love megan rage kendall jenner photo sit like thinking_face upsidedown_face,0
think anger barrier truth user,0
new play tonight pretty much blind run play game maybe get level rage,0
user user yes rejoice,1
